subdir,filename,size,md5,sha256,internal_version
core-jieli-a073,20251202150025_MOY-A073-0.0.1-5410A021-20251201-UI-JLQFNLVD1.0-DSP-JL_EQ_A07_V1.0.1-ENCRYPTED.fw,1555008,06e9d1517ea4b5bd651438fe16dcb448,fa679eafa3a290aac929533a0139c454d05ad74512208dba2bc052f1f17e89a2,
core-jieli-a073,20251202150510_MOY-A073-0.0.1-BIN-5410A021-ENCRYPTED.ufw,1555200,b4cc8308b8d6c65ea132a8c6ca0bc9e3,8a8a0765729d1e10447117b096ef04d6af2ad9d0fd8b16db2fbb4fe8b33f890b,
core-jieli-a073,20251203093833_MOY-A073-0.0.1-BIN-14A7254D-ENCRYPTED.ufw,1559296,cd0e38f26b91380573a8f2c524d8e23d,cbd0324d9b3163b18be678be7be15ff50f38262c1bf85fd1fe7219a5eacd28f3,
core-jieli-a073,20251211165704_MOY-A073-0.0.1-8C33044D-20251210-UI-JLQFNLVD1.0-DSP-JL_EQ_A07_V1.0.2-ENCRYPTED.fw,1559104,635fb8892ff4ea8b46d23d77b40e2644,80f0d598b63fff90d27b90b3e66bd57ca2b980beb33776c2e716ae03c6167956,
core-jieli-a073,20251216101142_MOY-A073-0.0.1-BIN-8C33044D-ENCRYPTED_(2).ufw,1559296,ae1ce8d39375d9ac38dc95d5ddd1cc8f,d187ca89891d9c74037fd676e03d25e211f23351e3b82106ac877e63e1df50a6,
core-jieli-a073,20260130151951_MOY-A073-0.0.2-BIN-0FBAFFDC-ENCRYPTED.ufw,1726016,cf919b84b3aef91f598f4f4b76477dac,f068b520a30465d339a815626e41eba3ad05b0350177c370332603a4ea45b53c,
core-jieli-a073,20260317095949_MOY-A073-0.0.2-BIN-AB5F0C3B-ENCRYPTED.ufw,1670304,1a2b8245efbf8b9f6361421908a4e2ad,f1a7a89cc0d649aa2c05863723fc52a7f55d0d286ce0340ce7ca1512f9c64bc0,
core-jieli-a073,20260331103639_MOY-A073-0.0.2-BIN-126BEF6B-ENCRYPTED.ufw,1691264,7de14a5506e1a03d3abf8fd6423b523b,2f8dc4ba929b145207a419b9e377565ba3b6562ad01b7705e5929938fbac7bc0,
core-jieli-a073,20260401151223_MOY-A073-0.0.2-BIN-004308D5-ENCRYPTED_(1).ufw,1691456,b4d3078136c2b0aa11f0631ae2833b0e,0a90830074eb63919fa4210b793f5f9bb312083b836ab02878935be321c27d91,
core-jieli-a073,20260401181934_MOY-A073-0.0.3-BIN-A3244535-ENCRYPTED.ufw,1691520,dfa6a3b8fc872becf09a746c5bf99f66,f3d80aa68897bed6e6526400e46cfc31beea0cb6458efa4b9de3be5376a8298d,
core-jieli-a073,20260409194426_MOY-A073-0.0.3-BIN-A3244535-ENCRYPTED_(1).ufw,1691520,dfa6a3b8fc872becf09a746c5bf99f66,f3d80aa68897bed6e6526400e46cfc31beea0cb6458efa4b9de3be5376a8298d,
core-jieli-a073,20260410212748_MOY-A073-0.0.5-BIN-68384413-ENCRYPTED.ufw,1691424,e6503e02b306b2a81ef03f0b1278af6f,d727e6b0d1c682db33e52f520506707d34f13f99717436da390dcb01ad6b116a,
core-jieli-a073,20260414144950_MOY-A073-0.0.5-BIN-ABCF5975-ENCRYPTED_(1).ufw,1691936,e2f0685d8067c842e99088eb42a20b68,93ced6ad9a402f9035c3f4d4439b283ff4efd63d46675aa07209039c6d9890a0,
core-jieli-a073,20260416134728_MOY-A073-0.0.5-BIN-C8B4BEC8-ENCRYPTED.ufw,1691968,7971fc696f3092289e944393016e2bdf,e99e94f6d1ae5d5af062be133ed3c8941ed105a7cf90a210fe9fdd3596a1392d,
core-jieli-a073,20260416143836_MOY-A073-0.0.5-BIN-B8704DD9-ENCRYPTED.ufw,1691968,9ca74fda97daf539dabf2874cff85ada,86284aa5e302761b62a667fa496538c7721c6b36810bb4d67e3afc988b6874d3,
core-jieli-a073,20260416165402_MOY-A073-0.0.3-BIN-A3244535-ENCRYPTED_(3).ufw,1691520,dfa6a3b8fc872becf09a746c5bf99f66,f3d80aa68897bed6e6526400e46cfc31beea0cb6458efa4b9de3be5376a8298d,
core-jieli-a073,20260416200419_MOY-A073-0.0.5-BIN-55D670F5-ENCRYPTED.ufw,1691968,f7a17d2e70db7889d36bb60db4a79f3e,92976eee934a0572c4dabd281d770d0252ef74c6a77468e5c1ceb57578aa3cc0,
core-jieli-a073,20260417134931_MOY-A073-0.0.5-BIN-30C91AB5-ENCRYPTED_(1).ufw,1691968,dc8149f341e32047c4b92d0e7cec09a0,79e673275f724b11f96191ee99d210b89775473b79c9a838e61df25edc7dcbe5,
